FANCA,FANCC
FANCA,FANCF
FANCC,FANCG
FANCC,FANCA
FANCC,FANCF
FANCF,FANCG
FANCF,FANCA
FANCF,FANCC
CD28,NCL
NCL,CD28
CDC27,CDC16
CDC27,ANAPC1
CDC27,CDC23
CDC27,ANAPC7
CDC27,ANAPC5
CDC27,ANAPC4
CDC27,ANAPC2
CDC16,CDC27
CDC16,ANAPC1
CDC16,CDC23
CDC16,ANAPC7
CDC16,ANAPC5
CDC16,ANAPC4
CDC16,ANAPC2
ANAPC1,CDC27
ANAPC1,CDC16
ANAPC1,CDC23
ANAPC1,ANAPC7
ANAPC1,ANAPC5
ANAPC1,ANAPC4
ANAPC1,ANAPC2
CDC23,CDC27
CDC23,CDC16
CDC23,ANAPC1
CDC23,ANAPC7
CDC23,ANAPC5
CDC23,ANAPC4
CDC23,ANAPC2
ANAPC7,CDC27
ANAPC7,CDC16
ANAPC7,ANAPC1
ANAPC7,CDC23
ANAPC7,ANAPC5
ANAPC7,ANAPC4
ANAPC7,ANAPC2
ANAPC5,CDC27
ANAPC5,CDC16
ANAPC5,ANAPC1
ANAPC5,CDC23
ANAPC5,ANAPC7
ANAPC5,ANAPC4
ANAPC5,ANAPC2
ANAPC4,CDC27
ANAPC4,CDC16
ANAPC4,ANAPC1
ANAPC4,CDC23
ANAPC4,ANAPC7
ANAPC4,ANAPC5
ANAPC4,ANAPC2
ANAPC2,CDC27
ANAPC2,CDC16
ANAPC2,ANAPC1
ANAPC2,CDC23
ANAPC2,ANAPC7
ANAPC2,ANAPC5
ANAPC2,ANAPC4
XRCC6,XRCC5
XRCC6,NAA15
XRCC5,XRCC6
XRCC5,NAA15
NAA15,XRCC6
NAA15,XRCC5
CDC27,ANAPC10
CDC16,ANAPC10
ANAPC1,ANAPC10
CDC23,ANAPC10
ANAPC7,ANAPC10
ANAPC5,ANAPC10
ANAPC4,ANAPC10
ANAPC2,ANAPC10
ANAPC10,CDC27
ANAPC10,CDC16
ANAPC10,ANAPC1
ANAPC10,CDC23
ANAPC10,ANAPC7
ANAPC10,ANAPC5
ANAPC10,ANAPC4
ANAPC10,ANAPC2
TP53,MDM2
TP53,EP300
MDM2,TP53
MDM2,EP300
EP300,TP53
EP300,MDM2
SMARCA1,RBBP4
SMARCA1,BPTF
SMARCA1,RBBP7
RBBP4,SMARCA1
RBBP4,BPTF
BPTF,SMARCA1
BPTF,RBBP4
BPTF,RBBP7
RBBP7,SMARCA1
RBBP7,BPTF
POLR2D,GTF2F2
POLR2D,ERCC2
POLR2D,POLR2C
POLR2D,POLR2E
POLR2D,ERCC3
POLR2D,TBP
POLR2D,POLR2A
POLR2D,GTF2E1
POLR2D,GTF2E2
POLR2D,POLR2B
POLR2D,GTF2H1
POLR2D,GTF2F1
POLR2D,POLR2I
POLR2D,POLR2H
POLR2D,POLR2J
POLR2D,POLR2K
POLR2D,POLR2F
POLR2D,POLR2G
POLR2D,POLR2L
POLR2D,GTF2B
POLR2D,GTF2H2
POLR2D,GTF2H3
POLR2D,GTF2H4
GTF2F2,POLR2D
GTF2F2,ERCC2
GTF2F2,POLR2C
